RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
12,2,-74.706,0.0,4005456
13,2,-73.4157,0.0,4005092
14,2,-75.186,0.0,4005092
15,2,-73.9044,0.0,4005092
16,2,-73.3994,0.0,4005092
17,2,-74.0224,0.0,4005092
18,2,-75.1378,0.0,4005820
19,2,-74.4627,0.0,4005092
20,2,-74.9227,0.0,4005092
21,2,-74.3008,0.0,4004364
22,2,-73.6984,0.0,4005092
23,2,-74.5288,0.0,4003272
24,2,-75.1006,0.0,4005820
25,2,-74.7617,0.0,4014192
26,2,-74.441,0.0,4004364
27,2,-75.1378,0.0,4004728
28,2,-75.1097,0.0,4005092
29,2,-74.1022,0.0,4002908
30,2,-74.4201,0.0,4006184
31,2,-72.7692,0.0,4005092
32,2,-73.9314,0.0,4005092
33,2,-73.5871,0.0,4005092
34,2,-72.508,0.0,4005820
35,2,-75.2393,0.0,4005092
36,2,-73.526,0.0,4005092
37,2,-74.6275,0.0,4005092
38,2,-69.2291,0.0,4005820
39,2,-69.1803,0.0,4005092
40,2,-67.2854,0.0,4005092
41,2,-64.3418,0.0,4005092
42,2,-60.7638,0.0,4005092
43,2,-58.4072,0.0,4005092
44,2,-57.2316,0.0,4005456
45,2,-56.3076,0.0,4006184
46,2,-57.816,0.0,4005092
47,2,-59.6022,0.0,4007094
48,2,-59.4906,0.0,4005456
49,2,-61.5592,0.0,4003636
50,2,-68.4527,0.0,4005092
51,2,-74.0077,0.0,4004364
52,2,-73.9071,0.0,4005092
53,2,-75.0253,0.0,4005456
54,2,-74.7654,0.0,4005092
55,2,-74.2209,0.0,4005456
56,2,-75.3249,0.0,4005092
57,2,-75.1539,0.0,4005092
58,2,-75.1898,0.0,4002544
59,2,-75.3008,0.0,4004728
60,2,-75.1509,0.0,4005092
61,2,-74.8724,0.0,4005092
62,2,-73.2895,0.0,4005456
63,2,-71.6631,0.0,4005092
64,2,-70.8882,0.0,4005092
65,2,-73.1822,0.0,4005456
66,2,-74.0173,0.0,4005092
67,2,-72.4679,0.0,4004000
68,2,-74.8233,0.0,4005456
69,2,-70.3493,0.0,4005092
70,2,-70.2235,0.0,4005092
71,2,-71.4626,0.0,4005092
72,2,-73.4032,0.0,4005092
73,2,-74.6399,0.0,4005092
74,2,-73.424,0.0,4005092
75,2,-75.0036,0.0,4005456
76,2,-73.4934,0.0,4005456
77,2,-74.0781,0.0,4005456
78,2,-75.1814,0.0,4005092
79,2,-72.7984,0.0,4005092
80,2,-69.9701,0.0,4004000
81,2,-66.6477,0.0,4005820
82,2,-58.0974,0.0,4005092
83,2,-55.1799,0.0,4006912
84,2,-57.5584,0.0,4004728
85,2,-62.8269,0.0,4004728
86,2,-55.3701,0.0,4004728
87,2,-54.0747,0.0,4003272
88,2,-60.511,0.0,4005820
89,2,-59.2733,0.0,4005456
90,2,-55.3068,0.0,4006548
91,2,-56.7941,0.0,4005456
92,2,-64.9674,0.0,4003272
93,2,-66.2523,0.0,4005092
94,2,-68.9129,0.0,4004364
95,2,-72.6634,0.0,4005092
96,2,-74.3948,0.0,4002908
97,2,-74.872,0.0,4005456
98,2,-74.2941,0.0,4004364
99,2,-75.1814,0.0,4005092
100,2,-74.3343,0.0,4003636
0,3,-75.3085,0.0,4005820
1,3,-74.9761,0.0,4005456
2,3,-72.0838,0.0,4005092
3,3,-71.9807,0.0,4005092
4,3,-74.895,0.0,4004000
5,3,-74.9914,0.0,4005092
6,3,-75.1338,0.0,4005092
7,3,-72.6527,0.0,4005092
8,3,-73.8734,0.0,4003636
9,3,-75.1036,0.0,4005456
10,3,-73.714,0.0,4004364
11,3,-75.3269,0.0,4005456
12,3,-75.3231,0.0,4001088
13,3,-71.5139,0.0,4005456
14,3,-73.4538,0.0,4004000
15,3,-73.8891,0.0,4005092
16,3,-73.646,0.0,4004364
17,3,-73.4303,0.0,4005456
18,3,-74.5083,0.0,4003636
19,3,-75.178,0.0,4005092
20,3,-74.668,0.0,4005092
21,3,-72.6238,0.0,4005092
22,3,-74.2485,0.0,4004000
23,3,-74.6272,0.0,4006184
24,3,-75.2493,0.0,4002908
25,3,-74.6889,0.0,4005092
26,3,-75.2535,0.0,4005092
27,3,-75.357,0.0,4006184
28,3,-74.7378,0.0,4001816
29,3,-74.0583,0.0,4005092
30,3,-73.0672,0.0,4004728
31,3,-71.2989,0.0,4005456
32,3,-72.2196,0.0,4005092
33,3,-71.2647,0.0,4005092
34,3,-69.7537,0.0,4003272
35,3,-73.3454,0.0,4005092
36,3,-73.4756,0.0,4005092
37,3,-72.9598,0.0,4005092
38,3,-73.6635,0.0,4005092
39,3,-72.5748,0.0,4005456
40,3,-69.1484,0.0,4002544
41,3,-70.0955,0.0,4005456
42,3,-66.0048,0.0,4004364
43,3,-62.393,0.0,4005092
44,3,-65.7428,0.0,4004364
45,3,-71.7465,0.0,4005820
46,3,-64.1913,0.0,4003636
47,3,-57.2477,0.0,4006184
48,3,-54.61,0.0,4005092
49,3,-57.5166,0.0,4004364
50,3,-62.4079,0.0,4001816
51,3,-67.2526,0.0,4005092
52,3,-70.8368,0.0,4005456
53,3,-74.0946,0.0,4005456
54,3,-71.2511,0.0,4003636
55,3,-73.8853,0.0,4005092
56,3,-75.281,0.0,4001816
57,3,-75.0623,0.0,4005092
58,3,-74.5863,0.0,4005092
59,3,-74.8676,0.0,4005092
60,3,-74.678,0.0,4005092
61,3,-74.8177,0.0,4005092
62,3,-73.8332,0.0,4005456
63,3,-70.8939,0.0,4005456
64,3,-69.5284,0.0,4005820
65,3,-71.1172,0.0,4005092
66,3,-73.306,0.0,4005456
67,3,-73.5317,0.0,4005092
68,3,-66.9376,0.0,4005456
69,3,-63.7146,0.0,4004728
70,3,-69.8726,0.0,4005456
71,3,-71.4786,0.0,4005092
72,3,-71.684,0.0,4005092
73,3,-72.4544,0.0,4005092
74,3,-74.7818,0.0,4005456
75,3,-74.0569,0.0,4005456
76,3,-71.9329,0.0,4005092
77,3,-73.6366,0.0,4005456
78,3,-72.5894,0.0,4004728
79,3,-74.7778,0.0,4002908
80,3,-68.5568,0.0,4005092
81,3,-63.969,0.0,4004364
82,3,-57.8056,0.0,4005092
83,3,-53.7447,0.0,4004728
84,3,-55.5942,0.0,4005092
85,3,-64.0705,0.0,4005092
86,3,-55.4592,0.0,4005092
87,3,-53.1693,0.0,4005456
88,3,-59.061,0.0,4005092
89,3,-56.6655,0.0,4005092
90,3,-53.3952,0.0,4006184
91,3,-54.6373,0.0,4005092
92,3,-61.7692,0.0,4004728
93,3,-65.9265,0.0,4003636
94,3,-66.4973,0.0,4005092
95,3,-72.5617,0.0,4005092
96,3,-73.9274,0.0,4005092
97,3,-74.7928,0.0,4004728
98,3,-73.3946,0.0,4005456
99,3,-75.2248,0.0,4005092
100,3,-73.7721,0.0,4004728
0,4,-74.2436,0.0,4005092
1,4,-73.7929,0.0,4005092
2,4,-71.8901,0.0,4005092
3,4,-73.2142,0.0,4005820
4,4,-73.8598,0.0,4005456
5,4,-74.1763,0.0,4005092
6,4,-75.0921,0.0,4005092
7,4,-73.3313,0.0,4005092
8,4,-73.2978,0.0,4005456
9,4,-75.4262,0.0,4004728
10,4,-71.6511,0.0,4005456
11,4,-72.2458,0.0,4004000
12,4,-74.5011,0.0,4005456
13,4,-71.7697,0.0,4004728
14,4,-73.5927,0.0,4005456
15,4,-72.3744,0.0,4005092
16,4,-72.7795,0.0,4005092
17,4,-73.6341,0.0,4005092
18,4,-74.3254,0.0,4005092
19,4,-73.5635,0.0,4005456
20,4,-75.333,0.0,4005092
21,4,-75.0287,0.0,4004364
22,4,-74.8902,0.0,4005456
23,4,-74.9614,0.0,4005092
24,4,-74.6059,0.0,4005092
25,4,-72.5761,0.0,4004728
26,4,-74.632,0.0,4005092
27,4,-74.375,0.0,4004728
28,4,-74.6135,0.0,4005092
29,4,-73.8019,0.0,4005092
30,4,-71.8953,0.0,4004000
31,4,-70.6664,0.0,4005092
32,4,-70.6493,0.0,4004728
33,4,-70.695,0.0,4005092
34,4,-71.0667,0.0,4002908
35,4,-74.8548,0.0,4005456
36,4,-74.9894,0.0,4004728
37,4,-74.9168,0.0,4005092
38,4,-73.5895,0.0,4005092
39,4,-73.4648,0.0,4005092
40,4,-73.7771,0.0,4002908
41,4,-67.5926,0.0,4005456
42,4,-65.3279,0.0,4005092
43,4,-59.2331,0.0,4005092
44,4,-55.0913,0.0,4005456
45,4,-52.7745,0.0,4005092
46,4,-50.9034,0.0,4006184
47,4,-50.6511,0.0,4005456
48,4,-53.8101,0.0,4005092
49,4,-58.6901,0.0,4003272
50,4,-62.865,0.0,4005456
51,4,-67.3197,0.0,4003272
52,4,-75.3398,0.0,4005092
53,4,-72.1158,0.0,4005456
54,4,-69.5464,0.0,4005092
55,4,-75.3258,0.0,4005092
56,4,-74.1838,0.0,4004728
57,4,-72.4873,0.0,4005092
58,4,-72.0958,0.0,4005092
59,4,-75.0729,0.0,4005456
60,4,-73.9265,0.0,4005456
61,4,-75.4148,0.0,4004000
62,4,-75.286,0.0,4005092
63,4,-73.828,0.0,4005092
64,4,-73.9005,0.0,4005092
65,4,-75.3535,0.0,4004728
66,4,-72.3263,0.0,4004728
67,4,-69.3941,0.0,4004364
68,4,-65.4794,0.0,4005456
69,4,-63.5342,0.0,4004728
70,4,-65.4228,0.0,4004728
71,4,-73.5209,0.0,4005092
72,4,-68.3155,0.0,4005092
73,4,-72.4961,0.0,4005092
74,4,-72.7264,0.0,4005820
75,4,-73.1359,0.0,4005456
76,4,-67.0247,0.0,4005092
77,4,-68.0797,0.0,4005456
78,4,-66.0001,0.0,4002544
79,4,-71.4052,0.0,4004728
80,4,-66.5312,0.0,4003636
81,4,-60.0059,0.0,4005092
82,4,-56.6999,0.0,4004728
83,4,-52.9866,0.0,4005092
84,4,-54.0542,0.0,4001452
85,4,-61.5038,0.0,4005092
86,4,-58.7419,0.0,4004000
87,4,-54.9158,0.0,4005092
88,4,-61.6511,0.0,4005092
89,4,-56.6811,0.0,4006548
90,4,-53.9027,0.0,4005092
91,4,-55.4025,0.0,4005092
92,4,-61.6809,0.0,4005092
93,4,-69.2577,0.0,4005092
94,4,-67.4982,0.0,4005820
95,4,-75.0878,0.0,4005092
96,4,-73.3017,0.0,4005092
97,4,-73.1313,0.0,4004364
98,4,-75.1568,0.0,4005092
99,4,-73.541,0.0,4005092
100,4,-73.3087,0.0,4005456
0,5,-72.2655,0.0,4005092
1,5,-71.7177,0.0,4005092
2,5,-74.1136,0.0,4005092
3,5,-73.6302,0.0,4005820
4,5,-71.092,0.0,4005092
5,5,-72.4787,0.0,4005092
6,5,-74.1964,0.0,4005092
7,5,-72.2305,0.0,4004364
8,5,-73.5342,0.0,4005092
9,5,-75.2719,0.0,4005092
10,5,-73.6263,0.0,4005092
11,5,-73.7463,0.0,4005092
12,5,-72.0396,0.0,4005092
13,5,-74.0486,0.0,4005092
14,5,-73.2613,0.0,4004728
15,5,-72.726,0.0,4001816
16,5,-72.3664,0.0,4005456
17,5,-74.2327,0.0,4002908
18,5,-72.5508,0.0,4005092
19,5,-73.5973,0.0,4004364
20,5,-75.2678,0.0,4005092
21,5,-75.2129,0.0,4005456
22,5,-74.4917,0.0,4006184
23,5,-75.4528,0.0,4005456
